Título,Semilla,Estado,Frecuencia,Tamaño,Palabras_clave,Materia
"Bodegas Grant (Puerto de Santa María, Cádiz)",http://bodegasgrant.com,Inactiva,Anual,Mediano,Vinos / Brandy / Bodega / /Industria de las bebidas / Cádiz,Bebidas
"La Jerezana cerveza artesana (Jerez de la Frontera, Cádiz)",http://catarte.com,Inactiva,Anual,Mediano,Cerveza / Industria de las bebidas / Cádiz,Bebidas
"CEIP La Atunara (La Línea de la Concepción, Cádiz)",http://ceiplaatunara.blogspot.com,Inactiva,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"CEIP Santiago (La Línea de la Concepción, Cádiz)",http://www.colegiosantiagolalinea.es,Inactiva,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Universidad de Cádiz,http://www.uca.es,Inactiva,Mensual,Mediano,Universidades / Andalucía,Educación
"CEIP Antonio Machado (Jerez de la Frontera, Cádiz)",https://blogsaverroes.juntadeandalucia.es/ceipantoniomachadojerez/,Inactiva,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
Sierra de Cádiz informa,https://sierradecadizinforma.es,Inactiva,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Cádiz / Andalucía,Prensa
Teatro Moderno de Chiclana (Cádiz),https://teatromoderno.es/w/,Inactiva,Semestral,Pequeno,Teatros / Instituciones culturales / Granada,Arte
Cofradía Nazareno de Santa María (Cádiz),https://www.nazarenodesantamaria.com,Inactiva,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Cádiz,Religión
