Título,Semilla,URL_adicionales,Estado,Tipo de recolección,Frecuencia ,Profundidad,Tamaño,Palabras_clave,Materia
"CEIP Maestro Manuel Aparcero (Chipiona, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11006929/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Maestro Eduardo Lobillo (Rota, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007090/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Antonio Briante Caro (Trebujena, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007132/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES Asta Regia (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007387/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Pinar Hondo (El Puerto de Santa María, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007399/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP El Trocadero (Puerto Real, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007511/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Gibalbín (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007867/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Maestro Juan Apresa (Arcos de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11007995/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Blas Infante (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11008100/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
CEIP San Felipe (Cádiz),http://www.juntadeandalucia.es/averroes/centros-tic/11602824/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
CEIP Carlos III (Cádiz),http://www.juntadeandalucia.es/averroes/centros-tic/11602988/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Montealegre (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11602991/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Cuartillo (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11603002/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Raimundo Rivero (San Fernando, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11603270/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Ángel Ruiz Enciso (Medina-Sidonia, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11603361/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Erytheia (San Fernando, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11603373a/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES Huerta del Rosario (Chiclana de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700123/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES Almunia (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700160/helvia/sitio/index.cgi,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES Santa Isabel de Hungría (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700172/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
IES La Caleta (Cádiz),http://www.juntadeandalucia.es/averroes/centros-tic/11700287/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES Ciudad de Hércules (Chiclana de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700354/helvia/sitio/index.cgi,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES José Luis Tejada Peluffo (EL Puerto de Santa María, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700445/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES Juan Sebastián Elcano (Sanlúcar de Barrameda, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700615/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES La Loma (Villamartín, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700743/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES Antonio de la Torre (EL Puerto de Santa María, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700822/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES Las Banderas (El Puerto de Santa María, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11700834/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES La Campiña (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11701000/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES San Telmo (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11701115/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES Fernando Quiñones (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11701139/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"IES Sofía (Jerez de la Frontera, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/11701140/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Cádiz,37 Educación. Enseñanza. Didáctica
"CEIP Carmen Romero (Aguilar de la Frontera, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14000094/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Ntra. Sra. de Guía (Alcaracejos, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14000151/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Valverde y Perales (Baena, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14000392/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Ntra. Sra. de la Sierra (Cabra, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14000744/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
CEIP Santa Bárbara (Córdoba),http://www.juntadeandalucia.es/averroes/centros-tic/14001441/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
CEIP Colón (Córdoba),http://www.juntadeandalucia.es/averroes/centros-tic/14001505/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
CEIP Enríquez Barrios (Córdoba),http://www.juntadeandalucia.es/averroes/centros-tic/14001529/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Ntra. Sra. de Loreto (Dos Torres, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14003381/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP San Carlos Borromeo (Fuente Ovejuna, Cádiz)",http://www.juntadeandalucia.es/averroes/centros-tic/14003681/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Ntra. Sra. del Rosario (Fuente- Tójar, Córdoba9",http://www.juntadeandalucia.es/averroes/centros-tic/14004002/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Inmaculada (Hinojosa del Duque, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14004075/helvia/sitio/index.cgi,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"IES Padre Juan Ruiz (Hinojosa del Duque, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14004105/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Virgen del Valle (Lucena, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14004622/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP San José (Montilla, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14004774/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
CEIP Elena Luque (Córdoba),http://www.juntadeandalucia.es/averroes/centros-tic/14004877/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Torre del Castillo (Monturque, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14005055/,,Inactiva,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Ntra. Sra. de la Salud (Posadas, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14005535/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Manuel Cano Damián (Pozoblanco, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14005584/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Niceto Alcalá-Zamora y Torres (Priego de Córdoba, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14005857/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"IES Fernando III El Santo (Priego de Córdoba, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14005912/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Ramiro de Maeztu (Puente Genil, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14006151/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Virgen de Luna (Villanueva de Córdoba, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14006709/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Épora (Montoro, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14007337/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Andalucía (Posadas, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14007386/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Dulce Nombre (Puente Genil, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14007994/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
CEIP Ciudad Jardín (Córdoba),http://www.juntadeandalucia.es/averroes/centros-tic/14600759/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"IES La Jara (Villanueva de Córdoba, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14700316/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"IES Miguel Crespo (Fernán Núñez, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14700365/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"IES Luna de la Sierra (Adamuz, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14700471/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"IES Juan de Soto Alvarado (Belalcázar, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/14700729/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
IES Grupo Cántico (Córdoba),http://www.juntadeandalucia.es/averroes/centros-tic/14700730/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
"CEIP Arcos de Torrecuevas (Almuñécar, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18000520/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Rafael Pérez del Álamo (Loja, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18000611/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP San Miguel (Armilla, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18000751/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"IES Alhendín (Alhendín, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18000842/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Andalucía (Benalúa de Guadix, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18001202/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"IES Emilio Muñoz (Cogollos Vega, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18001834/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Nuestra Señora del Rosario (Chimeneas, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18002221/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Federico García Lorca (Dílar, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18002322/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP Andrés Segovia (Granada),http://www.juntadeandalucia.es/averroes/centros-tic/18003442/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Profesor Tierno Galván (La Carlota, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/18003703/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Córdoba,37 Educación. Enseñanza. Didáctica
CEIP Los Cármenes (Granada),http://www.juntadeandalucia.es/averroes/centros-tic/18003715/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"IES Escultor Sánchez Mesa (Otura, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18004148/moodle2/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP Virgen de Fátima (Granada),http://www.juntadeandalucia.es/averroes/centros-tic/18004574/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Nuestra Señora de las Angustias (Huétor Vega, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18005268/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Nuestra Señora de los Dolores (Íllora, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18005271/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Caminillo (Loja, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18005876/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Elena Martín Vivaldi (Loja, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18005906/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Victoria (Loja, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18005979/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"IES Francisco Javier de Burgos (Motril, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18007046/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Manuel de Falla (Peligros, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18007484/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Reyes Católicos (Santa Fe, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18008211a/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP Sierra Elvira (Granada),http://www.juntadeandalucia.es/averroes/centros-tic/18009134/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP San Miguel (Almuñécar, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18009298/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"IES Valle de Lecrín (Dúrcal, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18009419/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Francisco Mejías (Motril, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18009481/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Jabalcón (Baza, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18010252/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP María Zambrano (Granada),http://www.juntadeandalucia.es/averroes/centros-tic/18600985/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
CEIP Andalucía (Granada),http://www.juntadeandalucia.es/averroes/centros-tic/18601217/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP El Olivarillo (Padul, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18601266/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Atalaya (Atarfe, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18601989/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Gloria Fuertes (Peligros, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18602003/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
IES Pedro Soto de Rojas (Granada),http://www.juntadeandalucia.es/averroes/centros-tic/18700037/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"IES Alba Longa (Armilla, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18700232/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"IES El Fuerte (Caniles, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18700517/helvia/sitio/,,Inactiva,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"IES Gregorio Salvador (Cúllar, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18700529/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"IES Avenmoriel (Benamaurel, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18700608/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"IES Montejícar (Montejícar, Granada)",http://www.juntadeandalucia.es/averroes/centros-tic/18700669/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Granada,37 Educación. Enseñanza. Didáctica
"CEIP Ntra. Sra. del Rocío (Almonte, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21000191/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Rodrigo de Xerez (Ayamonte, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21000486/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Lora Tamayo (Bonares, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21000735/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Juan Ramón Jiménez (Cartaya, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21000863/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Juan Gómez Márquez (Cumbres Mayores, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21001107/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Marismas de Hinojos (Hinojos, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21001259/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
CEIP San Fernando (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001296/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
CEIP Tres de Agosto (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001302/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
CEIP Tartessos (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001314/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
CEIP Príncipe de España (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001375/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
IES Diego de Guzmán y Quesada (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001909/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
IES Alonso Sánchez (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001910/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
IES Alto Conquero (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001995/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
"CEIP Pedro de Lope (Isla Cristina, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21002148a/helvia/sitio/,,Activa,Selectiva,Semestral,Host,Pequeno,Educación / Centros docentes / Huelva,37 Educación. Enseñanza. Didáctica
